shrid2,pc01_state_id,pc01_district_id
01-15-03-0091-00025400,15,03
01-15-03-0091-00025500,15,03
01-15-03-0091-00025600,15,03
01-15-03-0091-00025700,15,03
01-15-03-0091-00025900,15,03
01-15-03-0091-00026000,15,03
01-15-03-0091-00026100,15,03
01-15-03-0091-00026200,15,03
01-15-03-0091-00026300,15,03
01-15-03-0091-00026400,15,03
01-15-03-0091-00026500,15,03
01-15-03-0091-00026600,15,03
01-15-03-0091-00026700,15,03
01-15-03-0091-00026800,15,03
01-15-03-0091-00026900,15,03
01-15-03-0091-00027000,15,03
01-15-03-0091-00027100,15,03
01-15-03-0091-00027200,15,03
01-15-03-0091-00027300,15,03
01-15-03-0091-00027400,15,03
01-15-03-0091-00027500,15,03
01-15-05-0092-00039100,15,05
01-15-05-0092-00039200,15,05
01-15-05-0092-00039300,15,05
01-15-05-0092-00039400,15,05
01-15-05-0092-00039500,15,05
01-15-05-0092-00039700,15,05
01-15-05-0092-00039800,15,05
01-15-05-0092-00039900,15,05
01-15-05-0092-00040000,15,05
01-15-05-0092-00040100,15,05
01-15-05-0092-00040300,15,05
01-15-05-0092-00040400,15,05
01-16-01-00-40105000,16,01
01-16-04-0007-00085800,16,04
01-17-03-0002-00278800,17,03
01-17-04-0001-00317300,17,04
01-17-04-0001-00330200,17,04
01-17-04-0002-00346500,17,04
01-17-04-0002-00348200,17,04
01-17-05-0002-00431600,17,05
01-17-05-0002-00432100,17,05
01-17-06-0001-00457000,17,06
01-17-06-0001-00457400,17,06
01-17-06-0001-00457900,17,06
01-17-06-0001-00459000,17,06
01-17-06-0001-00462200,17,06
01-17-06-0001-00467800,17,06
01-17-06-0001-00468000,17,06
01-17-06-0001-00468800,17,06
01-17-06-0001-00469000,17,06
01-17-06-0001-00469200,17,06
01-17-06-0002-00478400,17,06
01-17-06-0002-00479000,17,06
01-17-06-0006-00519900,17,06
01-17-06-0006-00520100,17,06
01-17-06-0006-00522800,17,06
01-17-06-0006-00524000,17,06
01-17-06-0007-00537700,17,06
01-17-06-0007-00538200,17,06
01-18-05-0001-00416800,18,05
01-18-06-0001-00519400,18,06
01-18-06-0012-00633400,18,06
01-18-10-0006-01011900,18,10
01-18-11-0007-01251700,18,11
01-18-11-0007-01252400,18,11
01-18-11-0007-01254200,18,11
01-18-11-0007-01254700,18,11
01-18-11-0007-01256500,18,11
01-18-11-0007-01262100,18,11
01-18-11-0007-01262200,18,11
01-18-12-0001-01270800,18,12
01-18-12-0001-01274400,18,12
01-18-12-0001-01274600,18,12
01-18-12-0001-01274700,18,12
01-18-12-0001-01276900,18,12
01-18-12-0001-01280800,18,12
01-18-12-0091-01359400,18,12
01-18-12-0091-01361200,18,12
01-18-12-0091-01361900,18,12
01-18-12-0091-01364100,18,12
01-18-16-0004-01807400,18,16
01-18-16-0004-01807500,18,16
01-18-17-00-41701000,18,17
01-18-17-0004-01894800,18,17
01-18-17-0005-01923100,18,17
01-18-17-0005-01931400,18,17
01-18-19-0002-02098400,18,19
01-18-19-0002-02098800,18,19
01-18-19-0002-02099100,18,19
01-18-19-0002-02099200,18,19
01-18-19-0002-02099300,18,19
01-18-19-0002-02099400,18,19
01-18-19-0002-02099500,18,19
01-18-19-0002-02099800,18,19
01-18-19-0002-02100300,18,19
01-18-19-0002-02100400,18,19
01-18-19-0002-02100500,18,19
01-18-19-0002-02100600,18,19
01-18-19-0002-02100800,18,19
01-18-19-0002-02100900,18,19
01-18-19-0002-02101100,18,19
01-18-19-0002-02101200,18,19
01-18-19-0002-02101300,18,19
01-18-19-0002-02101600,18,19
01-18-19-0002-02102900,18,19
01-18-19-0002-02103400,18,19
01-18-19-0002-02103700,18,19
01-18-19-0002-02103800,18,19
01-18-19-0002-02105000,18,19
01-18-19-0002-02105100,18,19
01-18-19-0002-02105500,18,19
01-18-19-0002-02105600,18,19
01-18-19-0002-02106200,18,19
01-18-19-0002-02106800,18,19
01-18-19-0002-02107000,18,19
01-18-19-0002-02107600,18,19
01-18-19-0002-02107900,18,19
01-18-19-0002-02108400,18,19
01-18-19-0002-02108500,18,19
01-18-19-0002-02108600,18,19
01-18-19-0002-02108700,18,19
01-18-19-0002-02108900,18,19
01-18-19-0002-02109000,18,19
01-18-19-0002-02109100,18,19
01-18-19-0002-02109200,18,19
01-18-19-0002-02110100,18,19
01-18-19-0002-02110400,18,19
01-18-19-0002-02110600,18,19
01-18-19-0002-02110700,18,19
01-18-19-0002-02110900,18,19
01-18-19-0002-02111200,18,19
01-18-19-0002-02111400,18,19
01-18-19-0002-02111700,18,19
01-18-19-0002-02111900,18,19
01-18-19-0002-02112000,18,19
01-18-19-0002-02112200,18,19
01-18-19-0002-02112400,18,19
01-18-19-0002-02112500,18,19
01-18-19-0002-02112700,18,19
01-18-19-0002-02112900,18,19
01-18-19-0002-02113500,18,19
01-18-19-0002-02113600,18,19
01-18-19-0002-02113900,18,19
01-18-19-0002-02114100,18,19
01-18-19-0002-02114300,18,19
01-18-19-0002-02114700,18,19
01-18-19-0002-02115200,18,19
01-18-19-0002-02115300,18,19
01-18-19-0002-02115400,18,19
01-18-19-0002-02115500,18,19
01-18-19-0002-02115600,18,19
01-18-19-0002-02116700,18,19
01-18-19-0002-02117200,18,19
01-18-19-0002-02117400,18,19
01-18-19-0002-02117700,18,19
01-18-19-0002-02117800,18,19
01-18-19-0002-02117900,18,19
01-18-19-0002-02118100,18,19
01-18-19-0002-02118200,18,19
01-18-19-0002-02118300,18,19
01-18-19-0002-02118600,18,19
01-18-19-0002-02119400,18,19
01-18-19-0002-02119500,18,19
01-18-19-0002-02119800,18,19
01-18-19-0002-02120400,18,19
01-18-19-0002-02120800,18,19
01-18-19-0002-02121000,18,19
01-18-19-0002-02121600,18,19
01-18-19-0002-02121700,18,19
01-18-19-0002-02121800,18,19
01-18-19-0002-02121900,18,19
